geoid20_x,FIPS,ShapeSTArea,ShapeSTLength,pop_below_100_pct,pop_below_200_pct,chd_pct,total_pop,snap_rate,Age Total population,Under 18 years,Percent Under 18 years,0-19 years,20 to 44 years,45 to 64 years,65 years and over,Percent 65 years and over,85 years and over,Hispanic or Latino,Percent Hispanic or Latino,Not Hispanic or Latino,geoid20_y
101122,6037101122,28457743.58,31671.45584,4.42976,10.499266,5.1075268,4247,2.3546033,4164,665,16,729,1039,1487,909,21.8,149,362,8.7,3802,101122
101220,6037101220,7522092.633,12698.78381,16.900661,34.781456,6.2012877,3583,8.3728724,3481,596,17.1,686,1107,1119,569,16.3,39,1463,42,2018,101220
101221,6037101221,3811999.67,9161.710543,20.601543,43.918018,5.5870142,3723,2.6860058,3756,694,18.5,805,1336,882,733,19.5,182,1204,32.1,2552,101221
101222,6037101222,3191370.854,9980.600461,38.019875,66.654396,5.5906219,2690,7.4349442,2808,512,18.2,542,1021,786,459,16.3,70,1295,46.1,1513,101222
102107,6037102107,139083341.1,63679.43427,12.399194,35.635082,6.808279,3920,2.5510204,3577,427,11.9,538,1161,1093,785,21.9,212,886,24.8,2691,102107
103102,6037103102,13357089.84,16530.39426,7.5063615,25.318066,5.4887218,4692,8.5251493,4550,674,14.8,724,1493,1461,872,19.2,79,1089,23.9,3461,103102
103201,6037103201,21039344.78,18231.16938,14.438086,28.850157,6.1959653,4179,7.178751,4291,630,14.7,687,1600,1324,680,15.8,44,1594,37.1,2697,103201
103202,6037103202,50999127.73,45719.36855,1.2870514,6.7082682,6.2146893,2082,4.8030739,2010,330,16.4,342,679,429,560,27.9,26,471,23.4,1539,103202
103401,6037103401,15085817.31,20468.59951,6.3559322,21.61017,5.5954986,2643,3.7835793,2391,459,19.2,466,780,448,697,29.2,62,276,11.5,2115,103401
103402,6037103402,11829767.98,14650.19763,6.3920836,8.1305161,5.5821371,3902,10.251153,3829,729,19,763,1186,1112,768,20.1,63,607,15.9,3222,103402
104108,6037104108,11803024.89,18965.77327,18.717348,48.657898,4.597178,5138,13.623979,4962,1189,24,1292,1854,1246,570,11.5,74,4435,89.4,527,104108
104124,6037104124,48221678.21,39589.71219,9.5879126,26.978022,4.413702,3889,2.5713551,4006,634,15.8,732,1491,1183,600,15,29,1867,46.6,2139,104124
